,mz,MF,c,h,o,n,s,Test_sample_1,Test_sample_2,AI,DBE,O/C,H/C,class,AI_class,HDX_1_D,HDX_2_D
0,123.00876500000001,C6H4O3,6,4,3,0,0,0.242445984,0.009706599,0.8,5,0.5,0.666666667,CHO,condensed,2,NA
1,125.024415,C6H6O3,6,6,3,0,0,0.171305412,0.0116018,0.6,4,0.5,1.0,CHO,aromatic,3,2
2,125.0608,C7H10O2,7,10,2,0,0,0.21889116,0.012491804,0.333333333,3,0.285714286,1.428571429,CHO,unsaturated,2,NA
3,126.019664,C5H5O3N,5,5,3,1,0,0.023526424,0.005789922,0.666666667,4,0.6,1.0,CHON,condensed,1,2
4,127.04006500000001,C6H8O3,6,8,3,0,0,0.246684738,0.014441411,0.4,3,0.5,1.333333333,CHO,unsaturated,2,2
5,128.035314,C5H7O3N,5,7,3,1,0,2.254992699,0.015623424,0.333333333,3,0.6,1.4,CHON,unsaturated,2,2
6,129.01933,C5H6O4,5,6,4,0,0,0.156082511,0.01856484,0.333333333,3,0.8,1.2,CHO,unsaturated,2,2
7,129.055715,C6H10O3,6,10,3,0,0,0.396894994,0.025579255,0.2,2,0.5,1.666666667,CHO,others,3,2
8,129.0921,C7H14O2,7,14,2,0,0,0.264653838,0.017498445,0.0,1,0.285714286,2.0,CHO,others,2,NA
9,131.03498,C5H8O4,5,8,4,0,0,0.460444309,0.045937585,0.0,2,0.8,1.6,CHO,others,2,2
10,133.040733,C7H6ON2,7,6,1,2,0,0.013344283,0.008445908,0.8,6,0.142857143,0.857142857,CHON,condensed,1,NA
11,134.02474899999999,C7H5O2N,7,5,2,1,0,0.091357626,0.011494153,0.8,6,0.285714286,0.714285714,CHON,condensed,2,2
12,135.04514999999998,C8H8O2,8,8,2,0,0,0.520343022,0.032337245,0.571428571,5,0.25,1.0,CHO,aromatic,2,2
13,136.04039899999998,C7H7O2N,7,7,2,1,0,0.082581273,0.015108611,0.6,5,0.285714286,1.0,CHON,aromatic,2,NA
14,137.0608,C8H10O2,8,10,2,0,0,0.204191058,0.009682447,0.428571429,4,0.25,1.25,CHO,unsaturated,2,NA
15,139.01491299999998,C5H4O3N2,5,4,3,2,0,0.392656689,0.043527346,1.0,5,0.6,0.8,CHON,condensed,1,1
16,140.035314,C6H7O3N,6,7,3,1,0,0.036598379,0.011904243,0.5,4,0.5,1.166666667,CHON,aromatic,NA,NA
17,141.01933,C6H6O4,6,6,4,0,0,0.052751827,0.013038232,0.5,4,0.666666667,1.0,CHO,aromatic,2,1
18,141.055715,C7H10O3,7,10,3,0,0,0.188227546,0.023108896,0.333333333,3,0.428571429,1.428571429,CHO,unsaturated,2,NA
19,141.0921,C8H14O2,8,14,2,0,0,0.131913215,0.0056399,0.142857143,2,0.25,1.75,CHO,others,2,NA
20,142.050964,C6H9O3N,6,9,3,1,0,0.018838655,0.008854386,0.25,3,0.5,1.5,CHON,others,1,NA
21,143.025083,C8H4ON2,8,4,1,2,0,0.023348264,0.010681749,1.0,8,0.125,0.5,CHON,condensed,1,NA
22,143.03498,C6H8O4,6,8,4,0,0,0.221705195,0.056392248,0.25,3,0.666666667,1.333333333,CHO,unsaturated,2,1
23,143.071365,C7H12O3,7,12,3,0,0,0.267647315,0.025573021,0.166666667,2,0.428571429,1.714285714,CHO,others,3,NA
24,143.10774999999998,C8H16O2,8,16,2,0,0,0.955667311,0.061506419,0.0,1,0.25,2.0,CHO,others,2,NA
25,144.045484,C9H7ON,9,7,1,1,0,0.106776258,0.008547585,0.75,7,0.111111111,0.777777778,CHON,condensed,1,NA
26,145.02949999999998,C9H6O2,9,6,2,0,0,0.054401752,0.005777745,0.75,7,0.222222222,0.666666667,CHO,condensed,1,1
27,145.08701499999998,C7H14O3,7,14,3,0,0,0.371569934,0.017061033,0.0,1,0.428571429,2.0,CHO,others,2,NA
28,147.04514999999998,C9H8O2,9,8,2,0,0,0.621652688,0.024965603,0.625,6,0.222222222,0.888888889,CHO,aromatic,1,NA
29,148.04039899999998,C8H7O2N,8,7,2,1,0,0.066383817,0.008704424,0.666666667,6,0.25,0.875,CHON,condensed,2,NA
30,149.024415,C8H6O3,8,6,3,0,0,0.477871037,0.046526438,0.714285714,6,0.375,0.75,CHO,condensed,1,NA
31,149.0608,C9H10O2,9,10,2,0,0,0.333212704,0.023506488,0.5,5,0.222222222,1.111111111,CHO,aromatic,2,1
32,150.056049,C8H9O2N,8,9,2,1,0,0.097393978,0.012720272,0.5,5,0.25,1.125,CHON,aromatic,1,NA
33,151.00368,C7H4O4,7,4,4,0,0,0.049212111,0.00791242,0.8,6,0.571428571,0.571428571,CHO,condensed,1,NA
34,151.040065,C8H8O3,8,8,3,0,0,4.852685303,0.376445077,0.571428571,5,0.375,1.0,CHO,aromatic,NA,NA
35,153.01933,C7H6O4,7,6,4,0,0,0.663642494,0.114018898,0.6,5,0.571428571,0.857142857,CHO,aromatic,3,NA
36,153.030563,C6H6O3N2,6,6,3,2,0,0.245088439,0.058163596,0.666666667,5,0.5,1.0,CHON,condensed,2,1
37,153.055715,C8H10O3,8,10,3,0,0,0.301062021,0.029745791,0.428571429,4,0.375,1.25,CHO,unsaturated,3,2
38,153.0921,C9H14O2,9,14,2,0,0,0.116726526,0.012800604,0.25,3,0.222222222,1.555555556,CHO,others,2,2
39,154.014579,C6H5O4N,6,5,4,1,0,100.0,58.5493248,0.666666667,5,0.666666667,0.833333333,CHON,condensed,2,NA
40,154.03320499999998,C7H9ONS,7,9,1,1,1,0.021419387,0.011969818,0.6,4,0.142857143,1.285714286,CHONS,aromatic,2,NA
41,155.071365,C8H12O3,8,12,3,0,0,0.191315501,0.045878073,0.285714286,3,0.375,1.5,CHO,others,3,1
42,155.10774999999998,C9H16O2,9,16,2,0,0,0.101763207,0.014446901,0.125,2,0.222222222,1.777777778,CHO,others,2,NA
43,157.014245,C6H6O5,6,6,5,0,0,0.057102816,0.006455037,0.5,4,0.833333333,1.0,CHO,aromatic,2,1
44,157.08701499999998,C8H14O3,8,14,3,0,0,0.63466248,0.094947516,0.142857143,2,0.375,1.75,CHO,others,3,2
45,157.1234,C9H18O2,9,18,2,0,0,1.810987373,0.151774651,0.0,1,0.222222222,2.0,CHO,others,2,1
46,158.04587899999999,C6H9O4N,6,9,4,1,0,0.015710501,0.009731591,0.0,3,0.666666667,1.5,CHON,others,NA,2
